identity	pages_base	pages_after	pages_ref	glyphs_base	glyphs_after	glyphs_ref
061_Nursing_Concept_Map_Template_fb9816f0__docx	1	1	1	150	150	120
062_Vocabulary_Concept_Map_Template_2f7c1c09__docx	1	1	1	76	76	66
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992__docx	1	1	1	402	402	397
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx	1	1	1	184	184	153
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx	1	1	1	185	185	179
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248__docx	1	1	1	255	255	246
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx	1	1	1	237	237	237
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8__docx	1	1	1	493	493	475
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1__docx	1	1	1	298	298	298
070_Storyboard_Template_Blank_Format_fc41673a__docx	1	1	1	42	42	42
071_Storyboard_Template_Cartoon_Theme_ae113de2__docx	1	1	1	141	141	141
072_Storyboard_Template_Colored_Theme_28524a15__docx	1	1	1	197	197	197
073_Storyboard_Template_Easy_to_Use_44ce05fc__docx	1	1	1	210	210	205
074_Storyboard_Template_Editable_Design_132436d1__docx	1	1	1	170	170	170
075_Storyboard_Template_Fillable_Format_7fa01641__docx	1	1	1	316	316	316
076_Storyboard_Template_Gray_Theme_1e5fd5e5__docx	1	1	1	10	10	10
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab__docx	1	1	1	33	33	33
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f__docx	1	1	1	253	253	253
079_Storyboard_Template_Simple_Format_81653703__docx	1	1	1	144	144	142
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1__docx	1	1	1	27	27	27
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb__docx	1	1	1	25	25	25
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b__docx	1	1	1	14	14	14
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3__docx	1	1	1	14	14	14
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820__docx	1	1	1	10	10	19
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a__docx	1	1	1	19	19	19
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7__docx	1	1	1	10	10	19
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04__docx	2	2	2	37	37	37
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e__docx	1	1	1	10	10	10
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88__docx	1	1	1	10	10	10
090_Business_Case_Template_Blue_Theme_108ff0f1__docx	1	1	1	263	263	263
091_Business_Case_Template_Complete_Guide_cb91a140__docx	5	5	5	3134	3134	3134
092_Business_Case_Template_Convenient_Format_00786cce__docx	7	7	7	5699	5699	5699
093_Business_Case_Template_Customizable_Layout_510c25e7__docx	1	1	1	201	201	201
094_Business_Case_Template_Decent_Layout_e7722f2b__docx	1	1	1	189	189	189
095_Business_Case_Template_Easy_Format_61de7128__docx	1	1	1	348	348	348
096_Business_Case_Template_Editable_Layout_41fe0bc0__docx	1	1	1	235	235	235
097_Business_Case_Template_Elegant_Layout_3ba9cbf2__docx	2	2	2	276	276	276
098_Business_Case_Template_Fillable_Layout_d0c5410e__docx	1	1	1	458	458	458
099_Business_Case_Template_Gray_Theme_ac3edbf4__docx	1	1	1	294	294	294
09__docx	2	2	2	2608	2608	2608
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	1	1	1	2004	2004	2004
100_Business_Case_Template_Modern_Format_ff9e7282__docx	5	5	5	512	512	512
150-5370-10H__docx	727	727	727	1508484	1508484	1508422
1528039320__docx	1	1	1	1790	1790	1790
1603642410-MoM-CASCOM-06-2020-draft04__docx	9	9	9	24054	24054	24054
19-06 Assistive Technology TAB Final - 508__docx	8	8	8	18195	18195	18195
191216_Lesefassung_Nachtflugregelung__docx	3	3	3	5435	5435	5435
195584360__docx	20	20	20	45562	45562	45562
1_tpr_template__from_fy14___docx	8	8	8	19095	19095	19095
20110608_psp__docx	3	3	3	4704	4704	4704
2015-April-SWIM_Users_Forum-Q&A__docx	5	5	5	8333	8333	8333
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai__docx	3	3	3	3631	3631	3631
231164_SystemDesignDocument__docx	28	28	28	38956	38956	38925
24-25_FAA_Holdover_Tables__docx	155	155	155	300664	300664	299583
33004__docx	47	47	47	60488	60488	60488
4400-91_Proposal_To_Lease_Space_10-2024__docx	6	6	6	16850	16850	16850
461249__docx	5	5	5	8911	8911	8911
5709.16 ch.40_mgfinal__docx	32	32	32	59010	59010	59010
62599_FRANCE-BRAZIL- Air France Flight 447 crash__docx	18	18	18	30134	30134	30134
A1. EASA Form 2__docx	7	7	7	11561	11561	11527
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx	14	14	16	18420	18420	18491
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	29	29	29	43746	43746	43748
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	12	12	12	13015	13015	13015
AC-150-5370-10G-updated-201604__docx	696	696	696	1432510	1432510	1432447
AFS-050-004-F2_0i__docx	8	8	8	13442	13442	13442
AUWG min 4-3-24 final__docx	2	2	2	3463	3463	3463
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx	2	2	2	772	772	764
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx	15	15	15	11073	11073	11071
Agile_Arc_SysDes__docx	20	20	20	33897	33897	33905
Allegiant_Company_Profile_with_History__docx	3	3	3	6588	6588	6588
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA__docx	148	148	148	189432	189432	189432
B11. TE.CAO.00129  Experience  logbook__docx	6	6	6	6685	6685	6666
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx	2	2	2	1529	1529	1529
CMTA_Airport_Transportation__docx	1	1	1	1305	1305	1305
CRIF - SpÃ©cification technique - Socle applicatif__docx	28	28	29	39524	39524	39882
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx	2	2	2	3936	3936	3936
Case-Study-Heathrow-Airport__docx	3	3	3	6461	6461	6461
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	3	3	3	6062	6062	6062
Company-profile-2022-EN__docx	5	5	5	5630	5630	5630
Contract_Check_Pilot_Sample_LOA__docx	4	4	4	7205	7205	7205
DOA_Template_Form_Type_Certification_Programme__docx	20	20	20	28542	28542	28545
DRX-Ascend System Course Description__docx	2	2	2	2950	2950	2950
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx	4	4	4	3613	3613	3613
EHEST-SMS-Safety-Management-Manual-V2__docx	82	82	82	105466	105466	105180
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	35	35	35	49388	49388	49328
ESPN-R - MCF - RA - Ed1__docx	58	58	58	65676	65676	65952
FAA 2025-26 Holdover Tables__docx	167	167	167	336754	336754	335603
FAA-2017-0628-0002_attachment_1__docx	4	4	4	3614	3614	3614
FAA-High-Level-Org-Chart__docx	3	3	3	4204	4204	4204
FG-AI4NDM-TR-skeleton_template__docx	5	5	5	2037	2037	2029
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx	16	16	16	23321	23321	23316
FO.FCTOA_.000129 Application for activities related to FSTD__docx	6	6	6	9067	9067	8979
FRE-03_mcar_part-3_and_IS_v2.9__docx	76	76	76	125011	125011	124706
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx	3	3	3	3393	3393	3393
HC-Bulletin-template__docx	5	5	5	2967	2967	2967
How-to-Write-an-Architecture-Document-for-a-Technology-Service__docx	3	3	3	5482	5482	5482
Interview-mit-Manfred1-Müller__docx	2	2	2	4744	4744	4744
JEMIT_Template__docx	4	4	4	8667	8667	8668
Leadership Information Article__docx	3	3	3	8107	8107	8107
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	3	3	3	8111	8111	8111
License App Instructions 2-22__docx	3	3	3	5737	5737	5737
May 25 bulletin focus on carers in the workplace__docx	4	4	4	2721	2721	2721
OM template for non-complex NCC operators_August 2016__docx	166	166	165	270077	270077	270009
PAT-047 - Architecture and Detailed Design Assessment__docx	4	4	4	6385	6385	6385
PES-Technical-Report-Template_Jan_2019__docx	14	14	14	13435	13435	13433
PI-doc.-no.-2E-Technical-Review-Report__docx	12	12	12	9882	9882	9882
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx	5	5	5	2742	2742	2742
Pre-Application_Letter_of_Intent_Example__docx	1	1	1	1780	1780	1780
Press release_EUREKA labels ITEA 3 Cluster__docx	2	2	2	4264	4264	4264
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	18	18	18	33617	33617	33604
SDL_FSDO_Part91_LOA_Checklist__docx	2	2	2	2375	2375	2375
SPA-02_mcar_part-2_and_IS_v2.9__docx	268	268	266	485953	485953	479154
SPA-06_mcar_part-6_and_IS_v2.9__docx	85	85	85	143116	143116	142938
SPA-11_mcar_part-11_v2.9__docx	49	49	49	70937	70937	70763
SWDD-template__docx	6	6	6	5833	5833	5833
Sample_PAO-PSO_91-113_Letter__docx	1	1	1	1629	1629	1629
Sample_SQMS_Program__docx	61	61	61	86734	86734	86680
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION__docx	1	1	1	1223	1223	1223
Software Architecture Document Template__docx	3	3	3	3390	3390	3390
Sol PJ14-03-04 Solution Contextual__docx	5	5	5	11366	11366	11366
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	15	15	15	15282	15282	15282
Technical Report and Technical Update Guidelines__docx	4	4	4	6716	6716	6716
Technical_Issue_Report_Form__docx	2	2	2	1922	1922	1922
UAS-SGI_waiver_approval_request_form__docx	2	2	2	2731	2731	2731
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx	29	29	29	42116	42116	40732
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	18	18	18	20689	20689	20679
WordArt_Shapes_Arrows_Catalog1__docx	52	52	52	11390	11390	11390
Writing a technical report (SCE subject guide)__docx	4	4	4	6403	6403	6403
airbus-pdf-information-package_v1-4__docx	9	9	9	6448	6448	6448
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	6	6	6	5747	5747	5747
b050-19__docx	3	3	3	4882	4882	4882
b053-19__docx	2	2	2	2916	2916	2916
bulletin__docx	14	14	14	17036	17036	17036
cacs-206-1751218225__docx	2	2	2	1925	1925	1925
clustered-column-result__docx	1	1	1	389	389	389
clustered-column-template__docx	1	1	1	200	200	200
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	44	44	44	73788	73788	73651
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx	9	9	9	8104	8104	8104
dragon1-enterprise-architecture-document-example-v0.1d__docx	13	13	13	10179	10179	10179
eTAR_External_Web_tool_Tip_Sheet_mh__docx	4	4	4	4629	4629	4579
easa-form-1__docx	5	5	5	7489	7489	7489
easa-regulations-update-20__docx	22	22	22	14939	14939	14939
exhibit-06---technical-architecture-template__docx	8	8	8	6774	6774	6775
f2_registro_de_aprovacao_com_pbcs_EN__docx	2	2	2	2293	2293	2286
f445896eb008d14c1746fc37d412dc22__docx	15	15	15	27066	27066	27066
final-technical-report-template__docx	6	6	6	6153	6153	6153
fleetfastfacts16nov2023__docx	1	1	1	635	635	635
form_1123_application_form_rvsm_spa__docx	3	3	3	3321	3321	3321
gpp-pr-top-7-office-markets-4q-2023__docx	4	4	4	5669	5669	5669
hdss-bulletin-issue-285-25-june-2025__docx	10	10	10	19699	19699	19647
healthcare-reform-nsa-consumer-bulletin__docx	4	4	4	8645	8645	8645
healthcare-reform-nsa-provider-bulletin__docx	5	5	5	11209	11209	11209
johnson_hall_service_log.pdf__docx	1	1	1	1364	1364	1364
lk03_17__docx	2	2	2	1931	1931	1931
mde087077~283__docx	4	4	4	5806	5806	5806
monthly-content-feeder__docx	18	18	18	34555	34555	34555
part-145-approval list (1)__docx	8	8	8	8409	8409	8415
part-145-approval list 2025__docx	7	7	7	7822	7822	7822
part-147_approval list_20230119__docx	2	2	2	3566	3566	3570
pie-chart-result__docx	1	1	1	234	234	234
pie-chart-template__docx	1	1	1	73	73	73
private-hire-operators-licensed__docx	2	2	2	1417	1417	1417
report-template__docx	20	20	20	15321	15321	15424
review-welsh-government-communications-mister-peter-mandelson__docx	14	14	14	14961	14961	14961
s33song-beverlyactproductionofdocuments__docx	2	2	2	3227	3227	3227
slcc-architecture-uu-architecture__docx	4	4	4	6328	6328	6328
system_design__technical_architecture_template__docx	17	17	17	9907	9907	9910
t_TEMPforInvProgs__docx	26	26	26	27737	27737	27737
te.iors.00048-002 SUP Questionnaire__docx	4	4	4	3627	3627	3627
technical report template__docx	10	10	10	4095	4095	4095
technical-architecture__docx	8	8	8	6960	6960	6990
technical-memo-format__docx	5	5	5	9300	9300	9300
technical-report-template__docx	7	7	7	3860	3860	3860
template---tpr-technical-progress-report-with-guidance__docx	7	7	7	9713	9713	9713
template-technical-report__docx	10	10	10	4363	4363	4363
tibs_guidelines_2__docx	13	13	13	16450	16450	16450
xx_SETIS_PWS_template_10.19.22__docx	15	15	15	25252	25252	25234
