document	id	text	ours_colour	ref_colour	ours_underlined	ref_underlined	verdict
gfopportunitiesforlinkagespres_2010_en.ppt	111	http://www.unaids.org/en/CountryResponses/Technica	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	112	http://www.gtz.de/en/unternehmen/15913.htm	0000ff				unseen
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	1132	allowance, incidental expenses	ffb349	ffb349	False	False	agree
ws_prod-g-doc-Events-Part-M-presentation.ppt	283	www.easa.europa.eu	009999				unseen
Inducement-to-Insurance-Business.ppt	23	jhandsborough@idoi.in.gov	6b9f25	6b9f25	False	True	agree
Inducement-to-Insurance-Business.ppt	25	Bulletin 158	6b9f25	6b9f25	True	True	agree
Inducement-to-Insurance-Business.ppt	27	Bulletin 177					unseen
Inducement-to-Insurance-Business.ppt	29	Bulletin 2015-05	6b9f25				unseen
ws_prod-g-doc-Events-2007-Privileges.ppt	94	ase with 21A.	ffffff	ffffff	False	False	agree
ws_prod-g-doc-Events-2007-Privileges.ppt	97	007 Staring p					unseen
ws_prod-g-doc-Events-2007-Privileges.ppt	105	hase with 21A	ffffff	ffffff	False	False	agree
ws_prod-g-doc-Events-2007-Privileges.ppt	98	007 Staring p					unseen
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	57	https://www.nhsggc.org.uk/working-with-us/hr-conne	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	59	https://learn.nes.nhs.scot/506/leadership-and-mana	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	61	https://learn.nes.nhs.scot/1802/estates-and-facili	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	63	https://www.nhsggc.org.uk/working-with-us/hr-conne	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	71	https://nes.scot.nhs.uk/education-and-training/by-	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	73	https://www.nhsggc.org.uk/about-us/professional-su	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	75	http://www.knowledge.scot.nhs.uk/ahppe/practice-pl	009999				unseen
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	83	https://www.nhsggc.org.uk/about-us/professional-su	009999	009999	True	True	agree
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	85	http://www.ckp.scot.nhs.uk/Published/PathwayViewer	009999	000000	True	False	differs
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	87	http://www.knowledge.scot.nhs.uk/home.aspx	009999				unseen
ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	2	evermeulen@aercap.com	009999	009999	True	True	agree
Lepore.ppt	24	http://www.unoosa.org/oosa/en/COPUOS/stsc/2011/doc	009999	009999	True	True	agree
Lepore.ppt	25	http://www.state.gov/t/avc/rls/160816.htm	009999	009999	True	True	agree
Lepore.ppt	26	http://www.spacenews.com/military/110413-pentagon-	009999	009999	True	True	agree
Lepore.ppt	30	debra@DFLspace.com	009999	009999	True	True	agree
1-secretariat.ppt	13	craig.spence@aopa.org	3333cc	3333cc	True	True	agree
1-secretariat.ppt	14	fhofmann@sympatico.ca	3333cc	3333cc	True	True	agree
1-secretariat.ppt	15	ruth.moser@aopa.org	3333cc	3333cc	True	True	agree
joint_user_outcomes_michael_fullerton_29.06.12.ppt	31	http://www.dh.gov.uk/prod_consum_dh/groups/dh_digi	f49100	000000	True	False	differs
joint_user_outcomes_michael_fullerton_29.06.12.ppt	32	http://www.ic.nhs.uk/services/social-care/social-c					unseen
joint_user_outcomes_michael_fullerton_29.06.12.ppt	33	http://www.dh.gov.uk/en/Publicationsandstatistics/	f49100	000000	True	False	differs
joint_user_outcomes_michael_fullerton_29.06.12.ppt	34	http://www.leadershipdevelopment.nhs.uk/framework/					unseen
joint_user_outcomes_michael_fullerton_29.06.12.ppt	35	http://webarchive.nationalarchives.gov.uk/+/www.dh	f49100	000000	True	False	differs
joint_user_outcomes_michael_fullerton_29.06.12.ppt	36	http://www.dh.gov.uk/prod_consum_dh/groups/dh_digi	f49100	000000	True	False	differs
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	12	www.acbhcs.org/providers	003366	003366	True	True	agree
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	16	www.acbhcs.org/providers	003366	003366	True	True	agree
RESPA_-_Section_8_Webinar.ppt	24	https://www.philadelphiafed.org/bank-resources/pub	1e6d37	333e48	True	False	differs
RESPA_-_Section_8_Webinar.ppt	27	http://files.consumerfinance.gov/f/201510_cfpb_com	1e6d37	333e48	True	False	differs
RESPA_-_Section_8_Webinar.ppt	30	https://www.consumerfinance.gov/policy-compliance/	1e6d37				unseen
RESPA_-_Section_8_Webinar.ppt	32	http://archives.hud.gov/news/1999/rspntce.html	1e6d37	333e48	True	False	differs
RESPA_-_Section_8_Webinar.ppt	35	hotline@compliancealliance.com	1e6d37				unseen
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	28	WaveMaker	009999	009999	True	True	agree
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	37	csiafrate@industrysalestax.com	009999	009999	True	True	agree
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	38	richprem@amazon.com	009999	009999	True	True	agree
iep-amount-frequency-for-webinar.ppt	79	http://www.dpi.wi.gov/sped/spp-selfassmt.html	666699	262626	True	False	differs
iep-amount-frequency-for-webinar.ppt	93	http://www.dpi.wi.gov/sped/bul10-07.html	666699	262626	True	False	differs
iep-amount-frequency-for-webinar.ppt	95	http://www.dpi.wi.gov/sped/speech.html	666699	262626	True	False	differs
iep-amount-frequency-for-webinar.ppt	103	christina.spector@dpi.wi.gov	666699	262626	True	False	differs
iep-amount-frequency-for-webinar.ppt	105	Margaret.resan@dpi.wi.gov	666699	262626	True	False	differs
iep-amount-frequency-for-webinar.ppt	107	paula.volpiansky@dpi.wi.gov	666699	262626	True	False	differs
iep-amount-frequency-for-webinar.ppt	75	https://dpi.wi.gov/sped/laws-procedures-bulletins/					unseen
iep-amount-frequency-for-webinar.ppt	83	https://dpi.wi.gov/sped/educators/procedural-compl					unseen
iep-amount-frequency-for-webinar.ppt	87	https://dpi.wi.gov/sped/program/speech-language					unseen
gillikin_online_user_mtg_2010.ppt	86	http://www.nlm.nih.gov/pubs/techbull/tb.html	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	90	http://www.nlm.nih.gov/pubs/techbull/so09/so09_pmc	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	95	http://www.nlm.nih.gov/class/	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	96	http://www.nlm.nih.gov/pubs/techbull/ma10/ma10_cla	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	101	http://www.nlm.nih.gov/tsd/cataloging/trainingcour	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	102	http://www.nlm.nih.gov/tsd/cataloging/trainingcour	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	105	http://toxlearn.nlm.nih.gov/	cc9900	ffffff	True	False	differs
gillikin_online_user_mtg_2010.ppt	111	http://dailymed.nlm.nih.gov/	cc9900	ffffff	True	False	differs
gillikin_online_user_mtg_2010.ppt	113	http://mml.nlm.nih.gov	cc9900	ffffff	True	False	differs
gillikin_online_user_mtg_2010.ppt	117	http://www.nlm.nih.gov/socialmedia	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	121	http://www.nlm.nih.gov/pubs/techbull/tb.html	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	125	http://www.nlm.nih.gov/pubs/techbull/so09/so09_pmc	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	131	http://www.nlm.nih.gov/class/	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	133	http://www.nlm.nih.gov/pubs/techbull/ma10/ma10_cla	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	139	http://www.nlm.nih.gov/tsd/cataloging/trainingcour	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	141	http://www.nlm.nih.gov/tsd/cataloging/trainingcour	cc9900				unseen
gillikin_online_user_mtg_2010.ppt	145	http://toxlearn.nlm.nih.gov/	cc9900	ffffff	True	False	differs
gillikin_online_user_mtg_2010.ppt	151	http://dailymed.nlm.nih.gov/	cc9900	ffffff	True	False	differs
gillikin_online_user_mtg_2010.ppt	153	http://mml.nlm.nih.gov	cc9900	ffffff	True	False	differs
gillikin_online_user_mtg_2010.ppt	157	http://www.nlm.nih.gov/socialmedia	cc9900				unseen
2015-Civil-Rights-Website-training.ppt	63	http://humanservices.hawaii.gov	ff0000	ff0000	True	True	agree
2015-Civil-Rights-Website-training.ppt	67	http://humanservices.hawaii.gov	ff0000	ff0000	True	True	agree
2015-Civil-Rights-Website-training.ppt	78	http://humanservices.hawaii.gov	ff0000	ff0000	True	True	agree
2015-Civil-Rights-Website-training.ppt	86	http://humanservices.hawaii.gov	ff0000	ff0000	True	True	agree
2015-Civil-Rights-Website-training.ppt	97	gwatts@dhs.hawaii.gov	0000ff	0000ff	True	True	agree
2015-Civil-Rights-Website-training.ppt	99	http://www.lep.gov	000000	000000	False	False	agree
2015-Civil-Rights-Website-training.ppt	101	http://www.doh.gov/ola					unseen
2015-Civil-Rights-Website-training.ppt	103	http://humanservices.hawaii.gov	ff0000	ff0000	True	True	agree
2015-Civil-Rights-Website-training.ppt	109	gwatts@dhs.hawaii.gov	0000ff	0000ff	True	True	agree
2015-Civil-Rights-Website-training.ppt	111	DHSCivilRightsBox@dhs.hawaii.gov	ff0000	ff0000	True	True	agree
Architecture.ppt	22	https://www.youtube.com/watch?v=NbA89YbWoL8	99ccff	99ccff	True	True	agree
