document	id	start	end	text	scheme6	ref_colour	field
RESPA_-_Section_8_Webinar.ppt	27	504	633	http://files.consumerfinance.gov/f/201510_cfpb_compliance-bu	1e6d37	333e48	plain
RESPA_-_Section_8_Webinar.ppt	30	481	568	https://www.consumerfinance.gov/policy-compliance/enforcemen	1e6d37	333e48	plain
RESPA_-_Section_8_Webinar.ppt	32	540	586	http://archives.hud.gov/news/1999/rspntce.html	1e6d37	333e48	plain
RESPA_-_Section_8_Webinar.ppt	35	172	202	hotline@compliancealliance.com	1e6d37	333e48	plain
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	28	949	958	WaveMaker	009999	009999	field
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	37	38	68	csiafrate@industrysalestax.com	009999	009999	field
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	38	93	112	richprem@amazon.com	009999	009999	field
iep-amount-frequency-for-webinar.ppt	79	156	201	http://www.dpi.wi.gov/sped/spp-selfassmt.html	666699	262626	plain
iep-amount-frequency-for-webinar.ppt	93	160	200	http://www.dpi.wi.gov/sped/bul10-07.html	666699	262626	plain
iep-amount-frequency-for-webinar.ppt	95	256	294	http://www.dpi.wi.gov/sped/speech.html	666699	262626	plain
iep-amount-frequency-for-webinar.ppt	103	65	93	christina.spector@dpi.wi.gov	666699	262626	plain
iep-amount-frequency-for-webinar.ppt	105	157	182	Margaret.resan@dpi.wi.gov	666699	262626	plain
iep-amount-frequency-for-webinar.ppt	107	248	275	paula.volpiansky@dpi.wi.gov	666699	262626	plain
iep-amount-frequency-for-webinar.ppt	75	218	283	https://dpi.wi.gov/sped/laws-procedures-bulletins/bulletins/	009999		unseen
iep-amount-frequency-for-webinar.ppt	83	1264	1335	https://dpi.wi.gov/sped/educators/procedural-compliance-self	009999		unseen
iep-amount-frequency-for-webinar.ppt	87	764	811	https://dpi.wi.gov/sped/program/speech-language	009999		unseen
gillikin_online_user_mtg_2010.ppt	86	195	239	http://www.nlm.nih.gov/pubs/techbull/tb.html	cc9900	cc9900	field
gillikin_online_user_mtg_2010.ppt	90	272	346	http://www.nlm.nih.gov/pubs/techbull/so09/so09_pmc_embargoed	cc9900	cc9900	field
gillikin_online_user_mtg_2010.ppt	95	138	167	http://www.nlm.nih.gov/class/	cc9900	cc9900	field
gillikin_online_user_mtg_2010.ppt	96	259	325	http://www.nlm.nih.gov/pubs/techbull/ma10/ma10_classificatio	cc9900	cc9900	field
gillikin_online_user_mtg_2010.ppt	101	71	140	http://www.nlm.nih.gov/tsd/cataloging/trainingcourses/mesh/i	cc9900	cc9900	field
gillikin_online_user_mtg_2010.ppt	102	194	273	http://www.nlm.nih.gov/tsd/cataloging/trainingcourses/classi	cc9900	cc9900	field
gillikin_online_user_mtg_2010.ppt	105	382	410	http://toxlearn.nlm.nih.gov/	cc9900	ffffff	plain
gillikin_online_user_mtg_2010.ppt	111	11	39	http://dailymed.nlm.nih.gov/	cc9900	ffffff	plain
gillikin_online_user_mtg_2010.ppt	113	124	146	http://mml.nlm.nih.gov	cc9900	ffffff	plain
gillikin_online_user_mtg_2010.ppt	117	45	79	http://www.nlm.nih.gov/socialmedia	cc9900	ffffff	plain
gillikin_online_user_mtg_2010.ppt	121	209	253	http://www.nlm.nih.gov/pubs/techbull/tb.html	009999	cc9900	plain
gillikin_online_user_mtg_2010.ppt	125	297	371	http://www.nlm.nih.gov/pubs/techbull/so09/so09_pmc_embargoed	009999	cc9900	plain
gillikin_online_user_mtg_2010.ppt	131	283	312	http://www.nlm.nih.gov/class/	009999	cc9900	plain
gillikin_online_user_mtg_2010.ppt	133	404	470	http://www.nlm.nih.gov/pubs/techbull/ma10/ma10_classificatio	009999	cc9900	plain
gillikin_online_user_mtg_2010.ppt	139	103	172	http://www.nlm.nih.gov/tsd/cataloging/trainingcourses/mesh/i	009999	cc9900	plain
gillikin_online_user_mtg_2010.ppt	141	226	305	http://www.nlm.nih.gov/tsd/cataloging/trainingcourses/classi	009999	cc9900	plain
gillikin_online_user_mtg_2010.ppt	145	423	451	http://toxlearn.nlm.nih.gov/	009999	ffffff	plain
gillikin_online_user_mtg_2010.ppt	151	32	60	http://dailymed.nlm.nih.gov/	009999	ffffff	plain
gillikin_online_user_mtg_2010.ppt	153	145	167	http://mml.nlm.nih.gov	009999	ffffff	plain
gillikin_online_user_mtg_2010.ppt	157	66	100	http://www.nlm.nih.gov/socialmedia	009999	ffffff	plain
2015-Civil-Rights-Website-training.ppt	63	25	56	http://humanservices.hawaii.gov	ff0000	ff0000	field
2015-Civil-Rights-Website-training.ppt	67	172	203	http://humanservices.hawaii.gov	ff0000	ff0000	field
2015-Civil-Rights-Website-training.ppt	78	276	307	http://humanservices.hawaii.gov	ff0000	ff0000	field
2015-Civil-Rights-Website-training.ppt	86	215	246	http://humanservices.hawaii.gov	ff0000	ff0000	field
2015-Civil-Rights-Website-training.ppt	97	0	21	gwatts@dhs.hawaii.gov	ff0000	000000,0000ff,ff0000	plain
2015-Civil-Rights-Website-training.ppt	99	41	59	http://www.lep.gov	ff0000	000000,ff0000	plain
2015-Civil-Rights-Website-training.ppt	101	84	106	http://www.doh.gov/ola	ff0000		unseen
2015-Civil-Rights-Website-training.ppt	103	149	180	http://humanservices.hawaii.gov	ff0000	ff0000	field
2015-Civil-Rights-Website-training.ppt	109	34	55	gwatts@dhs.hawaii.gov	ff0000	000000,0000ff,ff0000	plain
2015-Civil-Rights-Website-training.ppt	111	75	107	DHSCivilRightsBox@dhs.hawaii.gov	ff0000	ff0000	field
Architecture.ppt	22	0	43	https://www.youtube.com/watch?v=NbA89YbWoL8	99ccff	99ccff	field
