            face    pt |  ref asc  ref h |  mod asc  mod h |  our asc  our h | flags
         Caladea   5.0 |       90    115 |       90    115 |       90    115 | 
         Caladea   5.5 |       99    127 |       99    127 |       99    127 | 
         Caladea   6.0 |      108    138 |      108    138 |      108    138 | 
         Caladea   6.5 |      117    150 |      117    150 |      117    150 | 
         Caladea   7.0 |      126    161 |      126    161 |      126    161 | 
         Caladea   7.5 |      135    173 |      135    173 |      135    173 | 
         Caladea   8.0 |      144    184 |      144    184 |      144    184 | 
         Caladea   8.5 |      153    196 |      153    196 |      153    196 | 
         Caladea   9.0 |      162    207 |      162    207 |      162    207 | 
         Caladea   9.5 |      171    219 |      171    219 |      171    219 | 
         Caladea  10.0 |      180    230 |      180    230 |      180    230 | 
         Caladea  10.5 |      189    242 |      189    242 |      189    242 | 
         Caladea  11.0 |      198    253 |      198    253 |      198    253 | 
         Caladea  11.5 |      207    265 |      207    265 |      207    265 | 
         Caladea  12.0 |      216    276 |      216    276 |      216    276 | 
         Caladea  12.5 |      225    288 |      225    288 |      225    288 | 
         Caladea  13.0 |      234    299 |      234    299 |      234    299 | 
         Caladea  13.5 |      243    311 |      243    311 |      243    311 | 
         Caladea  14.0 |      252    322 |      252    322 |      252    322 | 
         Caladea  14.5 |      261    334 |      261    334 |      261    334 | 
         Caladea  15.0 |      270    345 |      270    345 |      270    345 | 
         Caladea  15.5 |      279    357 |      279    357 |      279    357 | 
         Caladea  16.0 |      288    368 |      288    368 |      288    368 | 
         Caladea  16.5 |      297    380 |      297    380 |      297    380 | 
         Caladea  17.0 |      306    391 |      306    391 |      306    391 | 
         Caladea  17.5 |      315    403 |      315    403 |      315    403 | 
         Caladea  18.0 |      324    414 |      324    414 |      324    414 | 
         Caladea  18.5 |      333    426 |      333    426 |      333    426 | 
         Caladea  19.0 |      342    437 |      342    437 |      342    437 | 
         Caladea  19.5 |      351    449 |      351    449 |      351    449 | 
         Caladea  20.0 |      360    460 |      360    460 |      360    460 | 
         Caladea  20.5 |      369    472 |      369    472 |      369    472 | 
         Caladea  21.0 |      378    483 |      378    483 |      378    483 | 
         Caladea  21.5 |      387    495 |      387    495 |      387    495 | 
         Caladea  22.0 |      396    506 |      396    506 |      396    506 | 
         Caladea  22.5 |      405    518 |      405    518 |      405    518 | 
         Caladea  23.0 |      414    529 |      414    529 |      414    529 | 
         Caladea  23.5 |      423    541 |      423    541 |      423    541 | 
         Caladea  24.0 |      432    552 |      432    552 |      432    552 | 
     DejaVu Sans   5.0 |       93    117 |       93    117 |       93    117 | 
     DejaVu Sans   5.5 |      102    128 |      102    128 |      102    128 | 
     DejaVu Sans   6.0 |      111    140 |      111    140 |      111    140 | 
     DejaVu Sans   6.5 |      121    151 |      121    151 |      121    151 | 
     DejaVu Sans   7.0 |      130    163 |      130    163 |      130    163 | 
     DejaVu Sans   7.5 |      139    175 |      139    175 |      139    175 | 
     DejaVu Sans   8.0 |      149    186 |      149    186 |      149    186 | 
     DejaVu Sans   8.5 |      158    198 |      158    198 |      158    198 | 
     DejaVu Sans   9.0 |      167    210 |      167    210 |      167    210 | 
     DejaVu Sans   9.5 |      176    221 |      176    221 |      176    221 | 
     DejaVu Sans  10.0 |      186    233 |      186    233 |      186    233 | 
     DejaVu Sans  10.5 |      195    245 |      195    245 |      195    245 | 
     DejaVu Sans  11.0 |      204    256 |      204    256 |      204    256 | 
     DejaVu Sans  11.5 |      214    268 |      214    268 |      214    268 | 
     DejaVu Sans  12.0 |      223    280 |      223    280 |      223    280 | 
     DejaVu Sans  12.5 |      232    291 |      232    291 |      232    291 | 
     DejaVu Sans  13.0 |      241    303 |      241    303 |      241    303 | 
     DejaVu Sans  13.5 |      251    314 |      251    314 |      251    314 | 
     DejaVu Sans  14.0 |      260    326 |      260    326 |      260    326 | 
     DejaVu Sans  14.5 |      269    338 |      269    338 |      269    338 | 
     DejaVu Sans  15.0 |      279    349 |      279    349 |      279    349 | 
     DejaVu Sans  15.5 |      288    361 |      288    361 |      288    361 | 
     DejaVu Sans  16.0 |      297    373 |      297    373 |      297    373 | 
     DejaVu Sans  16.5 |      306    384 |      306    384 |      306    384 | 
     DejaVu Sans  17.0 |      316    396 |      316    396 |      316    396 | 
     DejaVu Sans  17.5 |      325    407 |      325    407 |      325    407 | 
     DejaVu Sans  18.0 |      334    419 |      334    419 |      334    419 | 
     DejaVu Sans  18.5 |      344    431 |      344    431 |      344    431 | 
     DejaVu Sans  19.0 |      353    442 |      353    442 |      353    442 | 
     DejaVu Sans  19.5 |      362    454 |      362    454 |      362    454 | 
     DejaVu Sans  20.0 |      371    466 |      371    466 |      371    466 | 
     DejaVu Sans  20.5 |      381    477 |      381    477 |      381    477 | 
     DejaVu Sans  21.0 |      390    489 |      390    489 |      390    489 | 
     DejaVu Sans  21.5 |      399    501 |      399    501 |      399    501 | 
     DejaVu Sans  22.0 |      409    512 |      409    512 |      409    512 | 
     DejaVu Sans  22.5 |      418    524 |      418    524 |      418    524 | 
     DejaVu Sans  23.0 |      427    536 |      427    536 |      427    536 | 
     DejaVu Sans  23.5 |      436    547 |      436    547 |      436    547 | 
     DejaVu Sans  24.0 |      446    559 |      446    559 |      446    559 | 

MODEL: line height 195/195 exact, ascent 195/195 exact
TREE:  line height 195/195 exact, ascent 195/195 exact
