document	mapped_styles	cells_naming_one	cells_selecting_a_mapped_section	cells_taking_a_keyword_colour
218f0840a7e4-underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund.ods	14	0	0	0
22cb10aa5c93-Hazard Analysis Template.ods	18	0	0	0
22da15b9a8d4-021_advanced_excel_area.ods	10	0	0	0
2404e6775683-044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	11	724	198	0
243b86ab078a-057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	11	62	58	0
254c661eef46-008_advanced_excel_radar.ods	10	0	0	0
26560dcfe77b-056_Quarterly_sale_report_baa6bb0d.ods	10	75	75	0
272f0affa9c3-State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.ods	10	0	0	0
2748ad4d1d0c-011_advanced_excel_pie.ods	10	0	0	0
2793a0a465a4-080_Profit_and_loss_income_statement_3566dae9.ods	12	1	1	0
27de2b66bde6-Airplanes-MTOW.ods	15	1	0	0
286a10b4f645-059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.ods	10	0	0	0
291e46c4e27f-2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.ods	10	0	0	0
2ad0c99dbf1e-afn-afn-20250801-fy25-jan25-mar25.ods	10	0	0	0
2d698a6473c0-004_advanced_excel_doughnut.ods	10	0	0	0
2e31dbc03c01-Data-Architecture-Tool-Fit-Assessment-Template.ods	10	0	0	0
2e59acc4d808-6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.ods	10	0	0	0
2ff856716ea7-Aviation_Abbreviations.ods	10	0	0	0
2ffd23259782-Travel-Cost-Estimate-Calculator.ods	11	21	18	0
32575f883e85-034_Personal_net_worth_calculator_f7b8fb57.ods	11	66	48	0
32aa8309a6fe-WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm.ods	10	0	0	0
32ef53f89eb6-018_advanced_excel_line.ods	10	0	0	0
33579253666f-068_Blue_inventory_list_Use_this_template_f9908489.ods	12	35	25	0
3404a0bf590c-088_To-do_list_with_progress_tracker_Use_this_template_8c438912.ods	11	6	1	0
345e45a5dc53-031_advanced_excel_bubble.ods	10	0	0	0
3462d60f6a0d-aircraft_analysis-2018-06.ods	10	0	0	0
34c1c7285ca1-Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14.ods	10	0	0	0
35c6b0e095a2-TICAPCapability_Final.ods	24	23	18	0
36a94eaf0254-Template Pilot Logbook JAR-FCL V3.0.ods	24	105	0	0
3873b369ac18-template-ECSPR-notifications.ods	10	0	0	0
3910010aea15-081_Project_performance_report_Use_this_template_be2468b3.ods	17	99	54	0
3a26af4cf3ee-058_Social_media_engagement_data_cfa1cb18.ods	10	0	0	0
3acfcacb61d5-006_Contextures_chart_sample_afa23b53.ods	11	0	0	0
3b70d1844199-UASEventsNov2014-Aug2015.ods	14	0	0	0
3ba2616b9ff5-041_Business_budget_ef942467.ods	12	83357	86	13
3cdb7d0e3c0e-ExampleWhiteListData.ods	10	0	0	0
3d0cec8c2648-certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.ods	11	1099	0	0
3fb77e313036-MinCh-Digital-Certificate-Publication-Report.ods	10	0	0	0
4176a4c0a4dd-008_Contextures_chart_sample_7ea7a1d7.ods	10	0	0	0
41d57655c430-2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.ods	10	0	0	0
42b95804fa1a-026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.ods	15	829	571	0
42b98616e142-Aircraft_Database.ods	10	0	0	0
4307a95c0fb6-data_20121018181533.ods	26	0	0	0
44d4ec1c29c4-023_Waterfall_Chart_Template_for_Excel_349f7689.ods	13	0	0	0
460f4fc15ed0-EU_145s_with_TCCA_approval_-_31.01.2025.ods	10	0	0	0
48ae657528b1-hdss-bulletin-index-2019-2022.ods	10	0	0	0
49351113d34b-061_Regional_sales_chart_cb9eb690.ods	13	127	42	0
493b1d630c3d-Background_Declaration_Template.ods	49	0	0	0
4b225bcb22dd-Application_for_authorisation_as_crowdfunding_service_provider.ods	10	0	0	0
4cecfd8827bc-FAA-2019-0995-0002_attachment_2.ods	10	0	0	0
4f51a9036923-activespecs.ods	14	0	0	0
5022920b78cd-029_advanced_excel_area.ods	10	0	0	0
50a1d67ff8a7-seihon_zassi_kikou_20221215.ods	10	0	0	0
5148194a7301-2025_Active_Civil_Airmen_Statistics_FINAL.ods	13	14666	10952	0
515c05b238cf-Part_129_Operators.ods	10	0	0	0
5241961658d1-RVSM_Non_approved_list_2025_84c0b3f4ac.ods	10	0	0	0
529051325057-PBN Matrix NAAs (V01).ods	10	0	0	0
52cd367baa27-Infotabelle_WLAN im Flugzeug.ods	10	0	0	0
540783b45f24-002_Contextures_chart_sample_f605e7bc.ods	10	0	0	0
54aa1036b3ef-june_2025_published.ods	10	0	0	0
54b385ca769b-16424782563923.ods	10	0	0	0
55236373cb57-EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	35	0	0	0
564e3e9fcd9d-011_Contextures_chart_sample_599b4392.ods	31	0	0	0
566a7b9cd56a-020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39.ods	10	0	0	0
59893466a7e5-025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93.ods	10	0	0	0
5baecec54301-SLSA_Directory_031423.ods	10	0	0	0
5bc799b9747d-017_Timeline_Templates_for_Excel_b88faee6.ods	10	0	0	0
5d68d926c0e9-AFS-400_Contacts.ods	10	0	0	0
5e2e47e1b260-029_Annual_budget_Use_this_template_30324a97.ods	10	0	0	0
5eb28ecbb29f-SIL_TDB648.ods	11	23	23	0
5f509fed5ee9-FMMO_NMPF_37C.ods	12	9	8	0
5fdce5dabbed-024_advanced_excel_radar.ods	10	0	0	0
61ed75aa19cc-033_Event_planning_tracker_Use_this_template_f29a848e.ods	10	0	0	0
638bda5559fd-Patent Index 2024 - Top 100 applicants 2024.ods	10	0	0	0
63a25508cbdd-SIL_TDB609.ods	22	35	19	0
66090ba85c2e-064_Small_business_cash_flow_Use_this_template_0a640756.ods	10	0	0	0
66785a9a86cd-065_Weight_loss_tracker_ff1c89af.ods	11	18	0	0
67054efb9c6f-RegChangeReport.ods	12	277	0	0
67c3164e1659-alle einzeln.ods	11	636	0	0
687fcaa493e5-034_advanced_excel_line.ods	10	0	0	0
68d5d7c87517-027_Simple_personal_cash_flow_statement_675c6584.ods	15	830	571	0
68e1362e2662-016_advanced_excel_radar.ods	10	0	0	0
69998449f262-FY2023-AIP-grants.ods	11	23202	23193	0
69ca65fd52e5-EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.ods	10	0	0	0
6a93b5b21dce-066_Agile_Gantt_chart_08f9de45.ods	11	81	54	0
6b5e6fd8990e-032_advanced_excel_radar.ods	10	0	0	0
6bb9001a6025-006_advanced_excel_scatter.ods	10	0	0	0
6c7010e8b643-047_Date_tracker_Gantt_chart_bf34f3a8.ods	13	13	5	0
6e701008d5eb-014_advanced_excel_scatter.ods	10	0	0	0
70710f0be103-018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.ods	13	366	28	14
70fdcf65bc56-einvoice-summary-worksheet.ods	11	144	95	0
71c8253f0f1d-SIL_TDB605.ods	21	7	6	0
72a31bb34056-087_Simple_personal_budget_3cf9b1af.ods	10	0	0	0
74d98d402292-NPIAS_2007_App_A.ods	14	0	0	0
7536efd3704d-024_Free_Kids_Chore_Chart_Template_ad74bb34.ods	10	0	0	0
7577d9692f6d-012_Contextures_chart_sample_9900da76.ods	10	0	0	0
75b0205531b1-2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.ods	20	0	0	0
767a495d9fdb-2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit.ods	10	0	0	0
76e067f15fc5-075_Idea_planner_tasks_f44ebd73.ods	11	8	6	0
77248a788669-019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	12	1238	0	0
7743de438b4f-022_advanced_excel_scatter.ods	10	0	0	0
782a92566f7a-NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1.ods	16	0	0	0
7b307b32f9b9-015_Free_Gantt_Chart_Template_for_Excel_414e86bf.ods	10	0	0	0
7b7b5954ffba-CSJU List of Recipients of funds 2013-2020.ods	10	6	6	0
7be58f64fd48-Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.ods	10	0	0	0
7c1a54535239-permit-applications-determined-july-2015.ods	17	0	0	0
7c5bdcf2083d-apron-area.ods	14	0	0	0
7cfa8f11a550-PA_Delaware.ods	14	0	0	0
7d77026caae3-List-of-Members-August-2017.ods	14	0	0	0
7df223e26e62-016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144.ods	10	0	0	0
7e63f51f479b-2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.ods	21	0	0	0
7efc5136002c-023_advanced_excel_bubble.ods	10	0	0	0
7f570683a4cd-072_Gantt_project_planner_dde00e33.ods	10	0	0	0
804815de8a38-AMOC-Digital-Certificate-Publication-Report.ods	10	0	0	0
82dd671450d3-099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6.ods	10	0	0	0
830f24d47206-ans_mappings_of_eccairs_terms.ods	10	0	0	0
862bd1a44b85-fm-provider-service-measures.ods	10	0	0	0
86d65d5dc24f-fy2010-aip-grants.ods	20	9700	9696	0
87d4c0792528-013_advanced_excel_area.ods	10	0	0	0
8839274be41a-078_Modern_inventory_list_Use_this_template_41abd5bf.ods	12	77	62	0
8c3af61ec4d1-086_Simple_grey_invoice_Use_this_template_063b3773.ods	11	3	0	0
8c6bfe9a10fb-050_Financial_vision_d44241e1.ods	10	0	0	0
8c98294d7c1f-013_Contextures_chart_sample_21b98e22.ods	10	0	0	0
8d303e058554-environment-edb-docs-edb-emissions-databank.ods	14	0	0	0
8d95a8b00d76-orbus_togaf_tool_csq.ods	15	1	0	0
8e4aeb884ac7-P1636e.ods	22	0	0	0
8e62a1be249f-036_Simple_to-do_list_Use_this_template_ba44373b.ods	11	24	0	0
8eaac7ee149f-AIM_OPR_LIST.ods	18	0	0	0
8f2ee03dfc8e-sectors-defense-and-aerospace.ods	10	0	0	0
8f4f45e5cf49-019_advanced_excel_pie.ods	10	0	0	0
90ea815fe310-PC1000.ods	16	34	1	0
937ac2039196-TDA_Smoke-Detectors.ods	10	0	0	0
946dd476258b-007_Contextures_chart_sample_667d8e47.ods	11	32	28	0
9500b89e9137-074_Idea_planner_bacaa123.ods	10	0	0	0
96b2d7f93e96-INDEX_Digital_Transformation_Toolkits.ods	19	0	0	0
9726234b2159-067_Basic_invoice_Use_this_template_1d35c3e9.ods	11	4	0	0
9834452f7882-esurf-12-135-2024-t01.ods	10	0	0	0
98a048b42dd0-009_advanced_excel_bar.ods	10	0	0	0
993e0a42766d-links-2026.ods	11	2	0	0
9994d57c8c7b-T0A0D0000090006XLSE.ods	17	0	0	0
9a8d65afb6bb-jobs-bulletin-51-22-december-2025.ods	10	0	0	0
9b27cbe1a824-airports_6.ods	10	1006	398	0
9caca43c54d8-076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.ods	14	35	24	0
9d0abf5ceb94-ZenithAviation_AuctionList.ods	15	908	893	0
9e6d1bf05297-055_Project_timeline_with_milestones_Use_this_template_546cecc0.ods	15	0	0	0
9efb7d69e890-AFCforPtF-Digital-Certificate-Publication-Report.ods	10	0	0	0
9fa35d4d2f0c-093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58.ods	10	0	0	0
a0551038974e-certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.ods	11	16352	6826	2
a25756855d4b-cy10_primary_enplanements.ods	18	0	0	0
a25d30dc5c09-Computer and Software Services_50 State Comparison.ods	11	2	1	0
a2ddf66ba3e8-027_advanced_excel_pie.ods	10	0	0	0
a3791ecfa7ec-040_Blood_pressure_tracker_872b6833.ods	13	16	0	0
a4aa1db73654-054_Problem_analysis_with_Pareto_chart_11058329.ods	11	8	0	0
a4cec8991042-DynamicBubbleChart.ods	10	0	0	0
a5371cbb5e4a-039_Baby_growth_tracker_e295ae56.ods	10	0	0	0
a60b95a80fcb-2023-qhp-form-and-rate-combined-checklist-final.ods	10	0	0	0
a63e5295daa5-REDAC_SCHEDULE_RPD_137.ods	15	179	101	0
a8223dc2ef25-List of EQS securities_0.ods	14	0	0	0
aa81a66fb34f-069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.ods	11	59	24	5
aaa65743d700-005_Contextures_chart_sample_6e279b08.ods	10	0	0	0
ab6d22476969-VOR Candidate Discontinuance List 2026-01-08.ods	10	0	0	0
aba71d44b14e-7-memento-2015-transports-aeriens-b.ods	15	120	73	0
ac379c72efa9-essd-16-3433-2024-t02.ods	10	0	0	0
acaa53c9d93b-073_Graph_paper_6e1a30eb.ods	10	0	0	0
acae1580c11d-programs contact list as of 07-01-10.ods	18	0	0	0
acc16902429a-014_Contextures_chart_sample_991ecfc5.ods	30	15	9	0
acfe63d7ef92-Air_Boss_Master_List.ods	10	0	0	0
ad2a7110fc40-017_advanced_excel_bar.ods	10	0	0	0
add9ef310201-Geo_Abschlussarbeiten.ods	10	0	0	0
ae86b2414b7b-laufende-nip-vorhaben-hyland.ods	14	0	0	0
aed7536ca58c-National-Reports.ods	10	0	0	0
af919e989402-flightstandards-doc-Cross-reference-table_version02.ods	10	0	0	0
b048c7677039-REDAC_SCHEDULE_RPD_135.ods	15	58	28	0
b143a0dee8c6-010_advanced_excel_line.ods	10	0	0	0
b28f5614e390-Published_Issuances_2024.ods	11	44	0	0
b3e59f489eee-028_advanced_excel_doughnut.ods	10	0	0	0
b43321ef1ee5-031_Business_expense_budget_f3a46278.ods	14	1027	806	40
b5b22bfcfc62-National-Finalists-2024-1.ods	10	0	0	0
b78cea3d895c-AIRBUS_station_evaluation_checklist_v2.ods	10	0	0	0
b7fde7cdac59-084_Service_invoice_Use_this_template_c92b43dc.ods	10	36	21	0
b900b1d56726-Chicago.List.2025.ods	10	0	0	0
ba513f184f41-091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01.ods	10	0	0	0
ba91a3622f94-MajCh-Digital-Certificate-Publication-Report.ods	10	0	0	0
bb4ed49acdf1-Performance.ods	10	0	0	0
bb6b95927cdb-6f9e605c-fded-11e3-bd0e-00144feab7de.ods	22	0	0	0
bbce89132af0-sistem-rekod-markah-srm-_-rekod-master.ods	10	0	0	0
bc18c1af3742-Upload__hvv_Linie_150_2023.ods	10	0	0	0
bc701899509c-SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.ods	11	8	8	0
bcaa05531f1b-e-pass-contact-details-template.ods	11	23	0	0
bdc9a2760096-002_advanced_excel_line.ods	10	0	0	0
be8be80035e7-cy01_state.ods	14	0	0	0
bed44dee2831-redac-sas-201503-fy17-research-portfolio.ods	12	49	38	0
c04f8c01d6b3-commander-authorisation-tasks-spreadsheet-october-2025.ods	10	0	0	0
c0e9371561a4-Foreign_SA-CAT-I_and_CAT-II-III_Pub_0.ods	10	0	0	0
c269d2dd72a3-FY2021-AIP-grants.ods	10	39440	39432	0
c301f66ff28f-EASA_PRODUCT_LIST_-_ALL.ods	10	0	0	0
c30286ca0294-097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed.ods	10	0	0	0
c33ad89594f1-CIS_Debian_Linux_8_Benchmark_v1.0.0.ods	14	0	0	0
c3d3abb9ecd1-062_Run_chart_cb7476ea.ods	12	126	126	0
c4c7dcde2ca5-003_Contextures_chart_sample_9bda2719.ods	10	0	0	0
c75a74f241b2-098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1.ods	10	0	0	0
c7619a6498c0-009_Contextures_chart_sample_adcb3f6c.ods	11	31	29	0
c7d2851acd17-085_Simple_Gantt_chart_d65b8377.ods	11	52	0	0
c7d81f401e9e-edb-emissions-databank v27-NewFormat (web).ods	11	258	0	0
c7e0a43f4101-FY2018_Q4_UAS_Sightings.ods	10	0	0	0
c8440a45bc10-00514292.ods	10	11	0	0
ccd52b803f58-flying-log-passenger-23rd-september-2014.ods	14	0	0	0
cd0639913019-077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.ods	10	0	0	0
cd21f4a68e21-004_Contextures_chart_sample_de7c0671.ods	10	0	0	0
cfd94243f8fe-Bulletin-37-Appendix-2-immediate-detriment-data-request.ods	10	0	0	0
d097fc0ad70c-038_Baby_growth_chart_bb9cd672.ods	10	0	0	0
d13f81d55feb-032_Business_expenses_budget_d377eaab.ods	11	1504	639	0
d14177f1b271-071_Four-week_project_timeline_Use_this_template_4f05db49.ods	10	0	0	0
d165e68b114c-SectorAdvisoryGroupandStrategyBoards.ods	14	0	0	0
d182dd8f2429-ACRONYM.ods	17	0	0	0
d1fd75343360-dragon-175066A.ods	10	0	0	0
d26637408e87-register-changes-in-may-2024---adujsted.ods	10	0	0	0
d3427e5d3ece-Liste-Zertifizierung-ChemKlimaschutzV-RPT.ods	20	0	0	0
d3438e093f1d-capa-liste-nse-1.ods	19	0	0	0
d3b121ce3b4a-042_Business_monthly_budget_4e4d092f.ods	12	83431	53	4
d4ee40bc0e6f-095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009.ods	10	0	0	0
d546df2fe2a0-007_advanced_excel_bubble.ods	10	0	0	0
d56dd9972411-089_Vintage_inventory_list_Use_this_template_f616cac0.ods	12	5	0	0
d6ef19843fc2-026_advanced_excel_line.ods	10	0	0	0
d8451eb9effa-microsoft_learn_multi_chart_examples.ods	10	0	0	0
d8c61af274c9-015_advanced_excel_bubble.ods	10	0	0	0
d941e3bb4111-079_Org_charts_visual_248d1dcf.ods	10	0	0	0
d9fad1b2849e-RPD 155 REDAC SCHEDULE 2014-04-02.ods	21	48	20	0
daf4c284bb7f-arp-sop-300-Exhibit-A-Table-Templates.ods	10	0	0	0
dcf160575147-EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.ods	10	0	0	0
dd2af2060d3c-TK-Syllabus-Comparison-Document-v2.ods	10	0	0	0
ddc8b8358c42-063_Sales_pipeline_aec57013.ods	11	100	0	0
def4253081ae-Global_Market_Forecast_2016-2035_Airbus_Data_Set.ods	13	22656	13316	0
dfb2ca248b5c-022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.ods	10	0	0	0
dfd102d37125-NAARMO_Mexico_RVSM_Approvals.ods	10	0	0	0
e04ee835c47b-001_advanced_excel_bar.ods	10	0	0	0
e05b8fbadedf-18-02RD301_ILS_components_Master_9-13-18.ods	14	0	0	0
e08624a5c066-046_Cost_analysis_with_Pareto_chart_7db5ef69.ods	11	11	11	0
e1fbaf37fc6f-ODs-February-2022-Airbus-Commercial-Aircraft.ods	11	549	416	0
e25c0398a1a0-Laser Report 2024 FOIA __Oct (1).ods	10	0	0	0
e3084e960069-TOGAF9-Tool-ConfReqts-CSQ.ods	15	2	0	0
e3d49d566246-STC_WebList.ods	10	0	0	0
e4e91b7c1af1-fy20-may20-sep20.ods	11	125	0	0
e53bafdcf4d5-cy06_primary_np_comm.ods	17	0	0	0
e790188842ad-051_Manufacturer_defect_analysis_53db27ea.ods	11	12	0	0
e7fdbcbdaa91-4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements.ods	18	0	0	0
e9ee0b55ad69-005_advanced_excel_area.ods	10	0	0	0
ed1d9d3df86e-atspp_pay_tables.ods	12	4212	4210	0
ef528cc5995e-grants-2005.ods	17	0	0	0
efab95056e03-090_Weekly_time_sheet_Use_this_template_0499cc43.ods	13	45	7	0
efe83906f647-049_Expenses_calculator_c351f3d0.ods	10	0	0	0
f0788ece9088-096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d.ods	10	0	0	0
f2e35f60b332-045_Check_register_with_chart_4becb8a0.ods	13	109	50	0
f3010d0871d4-025_advanced_excel_bar.ods	10	0	0	0
f3b0536449e9-ECA Sinters.ods	38	6450	5131	0
f5404feead8a-021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.ods	10	0	0	0
f6035c4a958d-RPA-Budgets-FY-17-19-20.ods	30	437	309	0
f828800581da-EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.ods	10	0	0	0
fb421f125101-030_Basic_balance_sheet_Use_this_template_10ed9144.ods	10	0	0	0
fbbb3b61becc-disclosures_ecm.ods	34	0	0	0
fc8bba3f043d-100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e.ods	10	0	0	0
fddd2e20ca8d-Keywords_Mapping_Graphs_and_Charts.ods	10	0	0	0
fdff1fa8da7b-DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).ods	12	2	0	0
fe6eab9e5c96-043_Buy_a_car_vs._rideshare_ff07c7e6.ods	10	0	0	0
ff159ebd0da3-060_Monthly_company_budget_47b2a99a.ods	12	221	127	13
ff2205e05263-035_Project_plan_for_law_firms_aa2d4462.ods	10	0	0	0
# 307 documents
# 307 hold a number style with a style:map
# 92 have a CELL naming one (360426 cells)
# 64 hold a cell whose VALUE selects a mapped section (128964 cells)
# 8 hold a cell taking one of the ten keyword colours (110 cells)
