page	y0	y1	x0	x1	w	font	size	text
0	597.39	609.03	360.79	410.02	49.23	DejaVuSans	10.01	TAX RATE
0	616.86	628.51	360.79	380.61	19.81	DejaVuSans	10.01	TAX
0	636.98	657.93	360.79	426.04	65.25	DejaVuSans-Bold	18.00	TOTAL
0	708.16	719.81	175.13	476.22	301.09	DejaVuSans	10.01	If you have any questions about this invoice, please contact
0	727.64	739.28	170.56	480.75	310.19	DejaVuSans-Bold	10.01	Cora Thomas at (516) 555-0135 or cora@example.com.
1	39.58	81.49	38.18	149.64	111.46	DejaVuSans	36.00	VOICE
1	144.13	155.77	46.12	75.83	29.71	DejaVuSans-Bold	10.01	DATE
1	159.12	170.77	46.12	102.17	56.06	DejaVuSans-Bold	10.01	9/17/2026
1	189.11	200.76	46.12	84.64	38.52	DejaVuSans-Bold	10.01	TERMS
1	204.11	215.75	46.12	143.40	97.28	DejaVuSans-Bold	10.01	Due upon receipt
1	266.33	277.97	68.55	118.08	49.53	DejaVuSans-Bold	10.01	AMOUNT
1	285.80	297.45	38.29	149.66	111.37	DejaVuSans	10.01	200.00
1	305.27	316.92	38.29	149.66	111.37	DejaVuSans	10.01	375.00
1	324.75	336.40	40.03	149.66	109.63	DejaVuSans	10.01	(50.00)
1	344.22	355.87	37.88	149.68	111.80	DejaVuSans	10.01	-
1	363.70	375.34	37.88	149.68	111.80	DejaVuSans	10.01	-
1	383.17	394.82	37.88	149.68	111.80	DejaVuSans	10.01	-
1	402.64	414.29	37.88	149.68	111.80	DejaVuSans	10.01	-
1	422.12	433.77	37.88	149.68	111.80	DejaVuSans	10.01	-
1	441.59	453.24	37.88	149.68	111.80	DejaVuSans	10.01	-
1	461.07	472.71	37.88	149.68	111.80	DejaVuSans	10.01	-
1	480.54	492.19	37.88	149.68	111.80	DejaVuSans	10.01	-
1	500.01	511.66	37.88	149.68	111.80	DejaVuSans	10.01	-
1	519.49	531.14	37.88	149.68	111.80	DejaVuSans	10.01	-
1	538.96	550.61	37.88	149.68	111.80	DejaVuSans	10.01	-
1	558.44	570.08	37.88	149.68	111.80	DejaVuSans	10.01	-
1	577.91	589.56	38.29	149.66	111.37	DejaVuSans	10.01	525.00
1	597.39	609.03	111.49	149.63	38.14	DejaVuSans	10.01	4.250%
1	616.86	628.51	38.30	149.67	111.37	DejaVuSans	10.01	22.31
1	636.98	657.93	42.59	149.65	107.06	DejaVuSans-Bold	18.00	$  547.31
2	101.01	114.97	51.39	320.64	269.25	DejaVuSans-Bold	11.99	INVOICE TEMPLATES BY VERTEX42.COM
2	115.82	128.62	51.39	419.24	367.85	DejaVuSans	11.00	https://www.vertex42.com/ExcelTemplates/invoice-templates.html
2	157.83	181.12	51.39	228.56	177.17	DejaVuSans-Bold	20.01	About Vertex42
2	185.44	198.24	51.39	518.51	467.11	DejaVuSans	11.00	Vertex42.com provides over 300 professionally designed spreadsheet templates for
2	198.25	211.06	51.39	524.37	472.98	DejaVuSans	11.00	business, home, and education - most of which are free to download. Their collection
2	211.07	223.87	51.39	516.99	465.60	DejaVuSans	11.00	includes a variety of calendars, planners, and schedules as well as personal finance
2	223.88	236.68	51.39	422.78	371.38	DejaVuSans	11.00	spreadsheets for budgeting, debt reduction, and loan amortization.
2	267.84	280.65	51.39	512.63	461.24	DejaVuSans	11.00	Businesses will find invoices, time sheets, inventory trackers, financial statements,
2	280.66	293.46	51.39	508.87	457.48	DejaVuSans	11.00	and project planning templates. Teachers and students will find resources such as
2	293.47	306.27	51.39	518.56	467.17	DejaVuSans	11.00	class schedules, grade books, and attendance sheets. Organize your family life with
2	306.28	319.08	51.39	529.05	477.66	DejaVuSans	11.00	meal planners, checklists, and exercise logs. Each template is thoroughly researched,
2	319.09	331.90	51.39	471.93	420.53	DejaVuSans	11.00	refined, and improved over time through feedback from thousands of users.
