page	y0	y1	x0	x1	w	font	size	text
1	577.91	589.55	250.95	362.07	111.12	DejaVuSans	10.01	525.00
1	597.39	609.02	324.11	362.25	38.13	DejaVuSans	10.01	4.250%
1	616.86	628.50	250.95	362.05	111.10	DejaVuSans	10.01	22.31
1	636.97	657.90	255.18	362.11	106.94	DejaVuSans-Bold	18.00	$  547.31
2	157.83	181.10	51.39	228.45	177.06	DejaVuSans-Bold	20.01	About Vertex42
2	101.01	114.96	51.39	320.51	269.11	DejaVuSans-Bold	11.99	INVOICE TEMPLATES BY VERTEX42.COM
2	115.82	128.61	51.39	418.85	367.45	DejaVuSans	11.00	https://www.vertex42.com/ExcelTemplates/invoice-templates.html
2	185.44	198.23	51.39	517.97	466.58	DejaVuSans	11.00	Vertex42.com provides over 300 professionally designed spreadsheet templates for
2	198.25	211.04	51.39	523.71	472.32	DejaVuSans	11.00	business, home, and education - most of which are free to download. Their collection
2	211.07	223.86	51.39	516.29	464.90	DejaVuSans	11.00	includes a variety of calendars, planners, and schedules as well as personal finance
2	223.88	236.67	51.39	422.30	370.91	DejaVuSans	11.00	spreadsheets for budgeting, debt reduction, and loan amortization.
2	267.84	280.63	51.39	512.01	460.62	DejaVuSans	11.00	Businesses will find invoices, time sheets, inventory trackers, financial statements,
2	280.66	293.45	51.39	508.30	456.91	DejaVuSans	11.00	and project planning templates. Teachers and students will find resources such as
2	293.47	306.26	51.39	517.95	466.56	DejaVuSans	11.00	class schedules, grade books, and attendance sheets. Organize your family life with
2	306.28	319.07	51.39	528.42	477.03	DejaVuSans	11.00	meal planners, checklists, and exercise logs. Each template is thoroughly researched,
2	319.09	331.89	51.39	471.47	420.08	DejaVuSans	11.00	refined, and improved over time through feedback from thousands of users.
