track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
slides	slides/batch-013/pptx/SRDMG(16)024_60 GHz onboard airplanes.pptx	pptx	1931	1931	1862	1862	69	69
slides	slides/batch-013/pptx/vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c.pptx	pptx	705	707	648	649	57	58
slides	slides/batch-013/pptx/vvsummit2022-SAIC-PRESENTATION.pptx	pptx	705	707	648	649	57	58
slides	slides/batch-014/ppt/Thailand17.ppt	ppt	2850	2826	2736	2625	114	201
slides	slides/batch-014/ppt/ws_prod-g-doc-Events-2008-February-5-NATO-activities.ppt	ppt	510	516	447	453	63	63
slides	slides/batch-014/pptx/2014BSA_Sunday_Killion.pptx	pptx	3759	3702	3619	3559	140	143
slides	slides/batch-014/pptx/429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3.pptx	pptx	3226	3225	3126	3125	100	100
slides	slides/batch-014/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	pptx	3827	3829	3436	3435	391	394
slides	slides/batch-014/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	5469	5294	5285	5126	184	168
slides	slides/batch-014/pptx/Ramp Up Campaign - French.pptx	pptx	446	465	418	437	28	28
slides	slides/batch-014/pptx/Sean Monogue.pptx	pptx	890	889	817	817	73	72
slides	slides/batch-014/pptx/Structural Testing.pptx	pptx	5023	4999	4362	4340	661	659
slides	slides/batch-014/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	pptx	2340	2137	2154	1958	186	179
slides	slides/batch-015/ppt/2015-Civil-Rights-Website-training.ppt	ppt	6573	6586	6116	6119	457	467
slides	slides/batch-015/ppt/Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6.ppt	ppt	1953	2156	1885	1885	68	271
slides	slides/batch-015/ppt/FAA_Form_337.ppt	ppt	5755	5848	5550	5614	205	234
slides	slides/batch-015/ppt/hofman.ppt	ppt	504	503	450	450	54	53
slides	slides/batch-015/pptx/PRM_training.pptx	pptx	2207	2193	2171	2156	36	37
slides	slides/batch-015/pptx/chapter_4_0.pptx	pptx	3340	3340	3175	3175	165	165
slides	slides/batch-015/pptx/redac-sas-201509-asisp-research.pptx	pptx	3300	3307	3124	3130	176	177
slides	slides/batch-015/pptx/redac-sas-201703-hf-research-division.pptx	pptx	784	784	713	713	71	71
slides	slides/batch-015/pptx/schematicplay.pptx	pptx	2127	2142	2111	2126	16	16
slides	slides/batch-015/pptx/schematicplaymar21.pptx	pptx	2120	2138	2103	2121	17	17
slides	slides/batch-016/ppt/pres_ioc_phuket.ppt	ppt	1031	1594	992	1518	39	76
slides	slides/batch-016/pptx/16 - UTM - (NASA).pptx	pptx	2658	2447	2454	2260	204	187
slides	slides/batch-016/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	pptx	1275	1219	1189	1133	86	86
slides	slides/batch-016/pptx/Presentation - Identify Components of the Airport (1).pptx	pptx	591	591	554	554	37	37
slides	slides/batch-016/pptx/Reporting_responsibilities_matrix.pptx	pptx	57904	57918	57729	57743	175	175
slides	slides/batch-016/pptx/Snowbirds_High_Show.pptx	pptx	1916	1925	1871	1871	45	54
slides	slides/batch-016/pptx/Technical_Report_Elements[1].pptx	pptx	1477	1482	1425	1430	52	52
slides	slides/batch-016/pptx/redac-nasops-201503-RIRP-portfolio-update.pptx	pptx	2915	2917	2760	2762	155	155
