document	sheet	name	definition	expanded	transitive_chain	cells
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_progress	'Project schedule'!$D1	'Project schedule'!$D1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_progress	'Project schedule'!$D1	'Project schedule'!$D1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_progress	'Project schedule'!$D1	'Project schedule'!$D1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	task_start	'Project schedule'!$E1	'Project schedule'!$E1		280
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	Actual	(PeriodInActual*('Project Planner'!$E1>0))*PeriodInPlan	(('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$E1,'Project Planner'!$E1+'Project Planner'!$F1-1))*('Project Planner'!$E1>0))*('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$C1,'Project Planner'!$C1+'Project Planner'!$D1-1))	PeriodInActual;PeriodInPlan	1560
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	ActualBeyond	PeriodInActual*('Project Planner'!$E1>0)	('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$E1,'Project Planner'!$E1+'Project Planner'!$F1-1))*('Project Planner'!$E1>0)	PeriodInActual	1560
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	PercentComplete	PercentCompleteBeyond*PeriodInPlan	(('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$E1,'Project Planner'!$E1+'Project Planner'!$F1)*('Project Planner'!$E1>0))*(('Project Planner'!A$4<(INT('Project Planner'!$E1+'Project Planner'!$F1*'Project Planner'!$G1)))+('Project Planner'!A$4='Project Planner'!$E1))*('Project Planner'!$G1>0))*('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$C1,'Project Planner'!$C1+'Project Planner'!$D1-1))	PercentCompleteBeyond;PeriodInPlan	1560
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	PercentCompleteBeyond	('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$E1,'Project Planner'!$E1+'Project Planner'!$F1)*('Project Planner'!$E1>0))*(('Project Planner'!A$4<(INT('Project Planner'!$E1+'Project Planner'!$F1*'Project Planner'!$G1)))+('Project Planner'!A$4='Project Planner'!$E1))*('Project Planner'!$G1>0)	('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$E1,'Project Planner'!$E1+'Project Planner'!$F1)*('Project Planner'!$E1>0))*(('Project Planner'!A$4<(INT('Project Planner'!$E1+'Project Planner'!$F1*'Project Planner'!$G1)))+('Project Planner'!A$4='Project Planner'!$E1))*('Project Planner'!$G1>0)		1560
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	Plan	PeriodInPlan*('Project Planner'!$C1>0)	('Project Planner'!A$4=MEDIAN('Project Planner'!A$4,'Project Planner'!$C1,'Project Planner'!$C1+'Project Planner'!$D1-1))*('Project Planner'!$C1>0)	PeriodInPlan	1560
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	period_selected	'Project Planner'!$H$2	'Project Planner'!$H$2		60
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	period_selected	'Project Planner'!$H$2	'Project Planner'!$H$2		1560
