identity	ext	path	npages	ours_rules	ref_rules	ours_pt	ref_pt	pages_ours_excess	worst_page	worst_excess
018_advanced_word_chart_report__docx	docx	words/chartset-004/docx/018_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx	docx	words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	0	3	0	380	0	0	0
031_advanced_word_chart_report__docx	docx	words/chartset-004/docx/031_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx	docx	words/chartset-009/docx/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	1	28	37	2922	3440	0	0	0
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36__docx	docx	words/chartset-005/docx/036_Venn_Diagram_Template_Fillable_Layout_3ffbba36.docx	1	0	0	0	0	0	0	0
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8__docx	docx	words/chartset-005/docx/054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	1	9	60	678	3595	0	0	0
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b__docx	docx	words/chartset-009/docx/082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b.docx	1	49	49	26955	26995	0	0	0
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a__docx	docx	words/chartset-005/docx/085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a.docx	1	49	49	25856	25932	0	0	0
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx	docx	words/chartset-010/docx/026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1.docx	1	1	1	497	498	0	0	0
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	docx	words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	1	34	79	4217	5302	0	0	0
051_Organogram_Template_Basic_Theme_e6464d06__docx	docx	words/chartset-010/docx/051_Organogram_Template_Basic_Theme_e6464d06.docx	1	29	80	343	5521	0	0	0
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx	docx	words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	1	23	91	2466	8087	0	0	0
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275__docx	docx	words/chartset-011/docx/022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	1	5	5	1542	1542	0	0	0
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb__docx	docx	words/chartset-006/docx/081_Printable_Graph_Paper_Template_Blue_Theme_629316cb.docx	1	31	31	21898	21787	1	1	111
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx	docx	words/chartset-011/docx/040_Venn_Diagram_Template_Three_Circle_80f32f5e.docx	1	0	3	0	1737	0	0	0
093_Business_Case_Template_Customizable_Layout_510c25e7__docx	docx	words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	1	23	23	12340	12339	0	1	1
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx	docx	words/chartset-011/docx/064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	1	11	14	720	2475	0	0	0
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx	docx	words/chartset-007/docx/009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	1	9	39	1548	2536	0	0	0
034_Venn_Diagram_Template_Customizable_Format_d14642b7__docx	docx	words/chartset-007/docx/034_Venn_Diagram_Template_Customizable_Format_d14642b7.docx	1	0	0	0	0	0	0	0
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx	docx	words/chartset-012/docx/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	1	28	65	3091	4154	0	0	0
074_Storyboard_Template_Editable_Design_132436d1__docx	docx	words/chartset-007/docx/074_Storyboard_Template_Editable_Design_132436d1.docx	1	2	2	1142	1142	0	0	0
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx	docx	words/chartset-012/docx/024_Unit_Circle_Chart_Colorful_Circles_7c92601e.docx	1	2	5	77	1112	0	0	0
094_Business_Case_Template_Decent_Layout_e7722f2b__docx	docx	words/chartset-007/docx/094_Business_Case_Template_Decent_Layout_e7722f2b.docx	1	21	21	10405	10405	0	0	0
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx	docx	words/chartset-012/docx/050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	1	9	15	648	2248	0	0	0
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx	docx	words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	1	32	72	3175	4358	0	0	0
096_Business_Case_Template_Editable_Layout_41fe0bc0__docx	docx	words/chartset-012/docx/096_Business_Case_Template_Editable_Layout_41fe0bc0.docx	1	20	20	9233	9233	0	0	0
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx	docx	words/chartset-008/docx/035_Venn_Diagram_Template_Editable_Format_966dff5f.docx	1	2	2	1414	1414	0	0	0
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx	docx	words/chartset-013/docx/048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	1	1	4	197	1687	0	0	0
098_Business_Case_Template_Fillable_Layout_d0c5410e__docx	docx	words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	1	18	20	8338	9263	0	0	0
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1__docx	docx	words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	1	4	66	1313	7269	0	0	0
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx	docx	words/chartset-009/docx/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	1	2	2	666	666	0	0	0
075_Storyboard_Template_Fillable_Format_7fa01641__docx	docx	words/chartset-013/docx/075_Storyboard_Template_Fillable_Format_7fa01641.docx	1	0	24	0	2840	0	0	0
030_Unit_Circle_Chart_Points_System_23b5ef07__docx	docx	words/chartset-009/docx/030_Unit_Circle_Chart_Points_System_23b5ef07.docx	1	2	2	932	932	0	0	0
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx	docx	words/chartset-014/docx/014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	1	22	28	2510	3493	0	0	0
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx	docx	words/chartset-009/docx/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.docx	1	12	10	4243	4023	1	1	220
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992__docx	docx	words/chartset-014/docx/063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992.docx	1	0	0	0	0	0	0	0
008_advanced_word_chart_report__docx	docx	words/chartset-001/docx/008_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx	docx	words/chartset-010/docx/020_Project_Timeline_Template_Modern_Theme_0c215d87.docx	1	41	44	15569	17158	0	0	0
076_Storyboard_Template_Gray_Theme_1e5fd5e5__docx	docx	words/chartset-014/docx/076_Storyboard_Template_Gray_Theme_1e5fd5e5.docx	1	0	0	0	0	0	0	0
026_advanced_word_chart_report__docx	docx	words/chartset-001/docx/026_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
FAA-2013-0422-0009_attachment_1__doc	doc	words/done-001/doc/FAA-2013-0422-0009_attachment_1.doc	7	0	0	0	0	0	0	0
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	docx	words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	0	3	0	1189	0	0	0
advert-for-draft-decision-airbus-epr-bm3965ia-v006__doc	doc	words/done-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	2	0	0	0	0	0	0	0
clustered-column-template__docx	docx	words/chartset-001/docx/clustered-column-template.docx	1	18	18	6319	6963	0	0	0
056_Organogram_Template_Square_Theme_38f373d4__docx	docx	words/chartset-010/docx/056_Organogram_Template_Square_Theme_38f373d4.docx	1	30	30	561	561	0	0	0
Pre-Application_Letter_of_Intent_Example__docx	docx	words/done-001/docx/Pre-Application_Letter_of_Intent_Example.docx	1	2	0	1014	0	1	1	1014
005_advanced_word_chart_report__docx	docx	words/chartset-002/docx/005_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
090_Business_Case_Template_Blue_Theme_108ff0f1__docx	docx	words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	1	15	24	7087	9170	0	0	0
private-hire-operators-licensed__docx	docx	words/done-001/docx/private-hire-operators-licensed.docx	2	42	42	15438	15439	0	1	0
015_advanced_word_chart_report__docx	docx	words/chartset-002/docx/015_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
029_Unit_Circle_Chart_Pie_Theme_8a922142__docx	docx	words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	1	0	0	0	0	0	0	0
prison-population-bulletin-june__doc	doc	words/done-002/doc/prison-population-bulletin-june.doc	4	0	0	0	0	0	0	0
023_advanced_word_chart_report__docx	docx	words/chartset-002/docx/023_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx	docx	words/chartset-011/docx/043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1.docx	1	32	35	6910	7139	0	0	0
FAA-High-Level-Org-Chart__docx	docx	words/done-002/docx/FAA-High-Level-Org-Chart.docx	3	0	0	0	0	0	0	0
033_advanced_word_chart_report__docx	docx	words/chartset-002/docx/033_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx	docx	words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	1	9	68	1698	6023	0	0	0
lk03_17__docx	docx	words/done-002/docx/lk03_17.docx	2	0	0	0	0	0	0	0
004_advanced_word_chart_report__docx	docx	words/chartset-003/docx/004_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
96-3-clement-data__doc	doc	words/done-003/doc/96-3-clement-data.doc	7	0	0	0	0	0	0	0
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx	docx	words/chartset-012/docx/013_Project_Timeline_Template_Blue_Background_4ea3475e.docx	1	46	46	5181	5182	0	0	0
016_advanced_word_chart_report__docx	docx	words/chartset-003/docx/016_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
Temp16__doc	doc	words/done-003/doc/Temp16.doc	2	17	17	8872	8860	0	1	12
031_Venn_Diagram_Template_Blue_Theme_a9e417b8__docx	docx	words/chartset-012/docx/031_Venn_Diagram_Template_Blue_Theme_a9e417b8.docx	1	0	0	0	0	0	0	0
027_advanced_word_chart_report__docx	docx	words/chartset-003/docx/027_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
DRX-Ascend System Course Description__docx	docx	words/done-003/docx/DRX-Ascend System Course Description.docx	2	14	14	4199	4198	0	2	1
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	docx	words/chartset-012/docx/055_Organogram_Template_Horizontal_Structure_28a7e725.docx	1	9	93	2206	6283	0	0	0
012_advanced_word_chart_report__docx	docx	words/chartset-004/docx/012_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
07-04__doc	doc	words/done-004/doc/07-04.doc	3	23	21	7454	6554	2	3	486
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e__docx	docx	words/chartset-013/docx/038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e.docx	1	0	0	0	0	0	0	0
opic 5--Case Studies Movie and Aviation Industries__doc	doc	words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	5	12	19	982	2251	1	5	144
022_advanced_word_chart_report__docx	docx	words/chartset-004/docx/022_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
059_Disease_Concept_Map_Template_4acf63f2__docx	docx	words/chartset-013/docx/059_Disease_Concept_Map_Template_4acf63f2.docx	1	20	65	483	8274	0	0	0
How-to-Write-an-Architecture-Document-for-a-Technology-Service__docx	docx	words/done-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	3	0	0	0	0	0	0	0
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	docx	words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	1	10	46	1620	2798	0	0	0
072_Storyboard_Template_Colored_Theme_28524a15__docx	docx	words/chartset-013/docx/072_Storyboard_Template_Colored_Theme_28524a15.docx	1	0	0	0	0	0	0	0
Software Architecture Document Template__docx	docx	words/done-004/docx/Software Architecture Document Template.docx	3	9	7	4070	3115	2	1	477
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe__docx	docx	words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	1	35	59	2460	3582	0	0	0
Theft-Restitution-Letter-Vancouver-ASC-2005__doc	doc	words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	1	0	1	0	72	0	0	0
091_Business_Case_Template_Complete_Guide_cb91a140__docx	docx	words/chartset-013/docx/091_Business_Case_Template_Complete_Guide_cb91a140.docx	5	21	11	5971	5083	1	2	882
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3__docx	docx	words/chartset-005/docx/083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3.docx	1	13	13	7127	7127	0	1	0
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx	docx	words/done-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	2	8	27	3617	4301	0	0	0
healthcare-reform-nsa-consumer-bulletin__docx	docx	words/done-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	4	0	0	0	0	0	0	0
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	docx	words/chartset-014/docx/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	1	8	8	5123	5123	0	1	0
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04__docx	docx	words/chartset-005/docx/087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04.docx	2	49	49	24508	24557	0	0	0
1244277 1 Comment__doc	doc	words/done-006/doc/1244277 1 Comment.doc	2	0	0	0	0	0	0	0
070_Storyboard_Template_Blank_Format_fc41673a__docx	docx	words/chartset-014/docx/070_Storyboard_Template_Blank_Format_fc41673a.docx	1	6	6	1496	1496	0	0	0
033_Venn_Diagram_Template_Colored_Theme_2aea6697__docx	docx	words/chartset-006/docx/033_Venn_Diagram_Template_Colored_Theme_2aea6697.docx	1	0	0	0	0	0	0	0
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc	doc	words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	6	135	136	56861	57636	2	5	424
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7__docx	docx	words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	1	7	13	5174	6257	0	0	0
cacs-206-1751218225__docx	docx	words/done-006/docx/cacs-206-1751218225.docx	2	76	90	31636	34398	0	0	0
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f__docx	docx	words/chartset-014/docx/078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f.docx	1	0	15	0	4442	0	0	0
097_Business_Case_Template_Elegant_Layout_3ba9cbf2__docx	docx	words/chartset-006/docx/097_Business_Case_Template_Elegant_Layout_3ba9cbf2.docx	2	25	25	12094	12094	0	0	0
GLACIERBG.ETT__doc	doc	words/done-001/doc/GLACIERBG.ETT.doc	1	1	1	105	105	0	1	0
RNW167A-150428__doc	doc	words/done-007/doc/RNW167A-150428.doc	9	176	178	87375	88369	3	4	496
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx	docx	words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	1	33	36	17400	17793	0	0	0
foca_form_1__doc	doc	words/done-001/doc/foca_form_1.doc	3	14	14	10312	10313	0	0	0
09__docx	docx	words/done-007/docx/09.docx	2	2	2	775	774	0	2	0
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx	docx	words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	1	7	7	4660	4659	0	1	1
Sample_PAO-PSO_91-113_Letter__docx	docx	words/done-001/docx/Sample_PAO-PSO_91-113_Letter.docx	1	1	1	79	79	0	1	0
final-technical-report-template__docx	docx	words/done-007/docx/final-technical-report-template.docx	6	30	20	3033	2442	1	4	592
Bull01-06-Reserve Training Standards__doc	doc	words/done-002/doc/Bull01-06-Reserve Training Standards.doc	6	0	0	0	0	0	0	0
template-technical-report__docx	docx	words/done-007/docx/template-technical-report.docx	10	10	16	4009	4954	0	2	0
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1__docx	docx	words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.docx	1	49	49	27155	27191	0	0	0
AUWG min 4-3-24 final__docx	docx	words/done-002/docx/AUWG min 4-3-24 final.docx	2	6	1	343	378	0	0	0
FlightLaws__doc	doc	words/done-008/doc/FlightLaws.doc	4	87	169	36158	35701	4	4	153
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx	docx	words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	1	12	36	1754	2629	0	0	0
Interview-mit-Manfred1-Müller__docx	docx	words/done-002/docx/Interview-mit-Manfred1-Müller.docx	2	0	0	0	0	0	0	0
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx	docx	words/done-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	4	71	80	31869	35943	0	0	0
s33song-beverlyactproductionofdocuments__docx	docx	words/done-002/docx/s33song-beverlyactproductionofdocuments.docx	2	1	1	25	28	0	0	0
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx	docx	words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	2	14	21	3451	4724	0	0	0
DEP2008-1900__doc	doc	words/done-003/doc/DEP2008-1900.doc	4	18	19	7731	8162	0	4	2
UAS-SGI_waiver_approval_request_form__docx	docx	words/done-008/docx/UAS-SGI_waiver_approval_request_form.docx	2	67	67	32978	32975	0	1	2
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx	docx	words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	1	6	24	445	2163	0	0	0
191216_Lesefassung_Nachtflugregelung__docx	docx	words/done-003/docx/191216_Lesefassung_Nachtflugregelung.docx	3	0	0	0	0	0	0	0
237287_0486190101_0486190101_geolink2neu__doc	doc	words/done-009/doc/237287_0486190101_0486190101_geolink2neu.doc	8	67	65	30719	29259	2	2	726
100_Business_Case_Template_Modern_Format_ff9e7282__docx	docx	words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	5	34	30	14917	14721	1	2	196
Technical_Issue_Report_Form__docx	docx	words/done-003/docx/Technical_Issue_Report_Form.docx	2	40	43	15103	16503	0	2	0
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc	doc	words/done-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	8	57	57	21775	21773	0	5	0
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx	docx	words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	1	35	38	4560	6144	0	0	0
2ca950374241722b8ea7c132dfce63ae__doc	doc	words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	3	26	25	13290	12780	1	3	511
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	docx	words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	1	0	6	0	3287	0	0	0
SWDD-template__docx	docx	words/done-009/docx/SWDD-template.docx	6	11	14	943	2150	1	1	144
1528039320__docx	docx	words/done-004/docx/1528039320.docx	1	31	31	14855	14855	0	1	1
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab__docx	docx	words/chartset-009/docx/077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab.docx	1	0	0	0	0	0	0	0
1528364855__doc	doc	words/done-010/doc/1528364855.doc	3	97	99	39425	39348	2	1	362
License App Instructions 2-22__docx	docx	words/done-004/docx/License App Instructions 2-22.docx	3	25	25	1617	1617	0	2	0
023_Unit_Circle_Chart_Circular_Percentage_790f7b75__docx	docx	words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	1	0	0	0	0	0	0	0
195584360__docx	docx	words/done-010/docx/195584360.docx	20	190	257	54136	84807	1	7	494
316r_a_e__doc	doc	words/done-005/doc/316r_a_e.doc	14	5	4	1683	1539	1	2	144
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx	docx	words/chartset-010/docx/032_Venn_Diagram_Template_Brown_Theme_d5b549f0.docx	1	0	3	0	1688	0	0	0
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248__docx	docx	words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	1	1	84	601	11712	0	0	0
loi_format_letter_of_intent-a-320-214-a330__doc	doc	words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	10	0	0	0	0	0	0	0
