file	pages	pat	verdict	detail
A1. EASA Form 2__docx.pdf	7	of	FROZEN	value=6 on 7/7
A1. EASA Form 2__docx.pdf	7	page	FROZEN	value=6 on 7/7
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx.pdf	16	page	sequential	16/16
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx.pdf	29	page	sequential	29/29
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx.pdf	12	page	sequential	12/12
AFS-050-004-F2_0i__docx.pdf	8	of	sequential	8/8
AFS-050-004-F2_0i__docx.pdf	8	page	sequential	8/8
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx.pdf	15	of	sequential	15/15
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx.pdf	15	page	sequential	15/15
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6__ppt.pdf	26	page	sequential	26/26
B11. TE.CAO.00129  Experience  logbook__docx.pdf	6	of	FROZEN	value=3 on 6/6
CRIF - Sp̩cification technique - Socle applicatif__docx.pdf	29	page	sequential	26/26
CSA_CCM_v1.2__xls.pdf	13	of	sequential	13/13
Case-Study-Heathrow-Airport__docx.pdf	3	of	sequential	3/3
Case-Study-Heathrow-Airport__docx.pdf	3	page	sequential	3/3
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx.pdf	3	of	sequential	3/3
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx.pdf	3	page	sequential	3/3
DEP2008-1900__doc.pdf	4	of	sequential	4/4
DEP2008-1900__doc.pdf	4	page	sequential	4/4
DOA_Template_Form_Type_Certification_Programme__docx.pdf	20	of	sequential	20/20
DOA_Template_Form_Type_Certification_Programme__docx.pdf	20	page	sequential	20/20
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx.pdf	35	slash	sequential	34/34
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx.pdf	35	page	sequential	34/34
ESPN-R - MCF - RA - Ed1__docx.pdf	58	slash	sequential	57/57
ESPN-R - MCF - RA - Ed1__docx.pdf	58	page	sequential	57/57
FAA-2019-0995-0002_attachment_2__xlsx.pdf	33	of	sequential	26/28
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx.pdf	16	slash	sequential	15/16
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx.pdf	16	page	sequential	16/16
FO.FCTOA_.000129 Application for activities related to FSTD__docx.pdf	6	of	sequential	6/6
FO.FCTOA_.000129 Application for activities related to FSTD__docx.pdf	6	page	sequential	6/6
FY2023-AIP-grants__xlsx.pdf	33	of	sequential	33/33
FY2023-AIP-grants__xlsx.pdf	33	page	sequential	32/33
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx.pdf	3	of	sequential	3/3
HC-Bulletin-template__docx.pdf	5	page	sequential	5/5
NAARMO_Mexico_RVSM_Approvals__xlsx.pdf	16	page	sequential	16/16
OM template for non-complex NCC operators_August 2016__docx.pdf	165	of	sequential	163/163
OM template for non-complex NCC operators_August 2016__docx.pdf	165	page	sequential	163/163
PAT-047 - Architecture and Detailed Design Assessment__docx.pdf	4	of	sequential	4/4
PA_Delaware__xls.pdf	122	of	sequential	122/122
PA_Delaware__xls.pdf	122	page	sequential	122/122
PBN Matrix NAAs (V01)__xlsx.pdf	25	of	sequential	24/25
PBN Matrix NAAs (V01)__xlsx.pdf	25	page	sequential	23/25
PI-doc.-no.-2E-Technical-Review-Report__docx.pdf	12	of	sequential	11/11
PI-doc.-no.-2E-Technical-Review-Report__docx.pdf	12	page	sequential	11/11
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx.pdf	5	of	sequential	5/5
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx.pdf	5	page	sequential	5/5
RMP 2011-2014 and Inventory__xls.pdf	38	of	sequential	38/38
RobertQ_Service__doc.pdf	4	of	sequential	4/4
SLSA_Directory_031423__xlsx.pdf	10	of	sequential	10/10
Stakeholders-v08052017 - v5__pptx.pdf	13	page	sequential	13/13
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	18	of	sequential	15/15
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	18	page	sequential	13/15
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx.pdf	15	of	sequential	15/15
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx.pdf	15	page	sequential	15/15
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx.pdf	29	page	sequential	29/29
UG.CAO.00133 Foreign Part 145 approvals - Language__docx.pdf	18	page	sequential	18/18
WordArt_Shapes_Arrows_Catalog1__docx.pdf	52	page	sequential	52/52
activespecs__xls.pdf	266	page	sequential	266/266
airbus-pdf-information-package_v1-4__docx.pdf	9	slash	sequential	8/9
airports_6__xlsx.pdf	17	page	sequential	17/17
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx.pdf	6	of	sequential	6/6
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013__xlsx.pdf	343	page	sequential	343/343
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx.pdf	82	page	sequential	82/82
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx.pdf	44	of	sequential	44/44
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx.pdf	44	page	sequential	38/44
eTAR_External_Web_tool_Tip_Sheet_mh__docx.pdf	4	of	sequential	4/4
eTAR_External_Web_tool_Tip_Sheet_mh__docx.pdf	4	page	sequential	4/4
form_1123_application_form_rvsm_spa__docx.pdf	3	slash	sequential	3/3
form_1123_application_form_rvsm_spa__docx.pdf	3	page	sequential	3/3
fy20-may20-sep20__xlsx.pdf	96	of	sequential	96/96
fy20-may20-sep20__xlsx.pdf	96	page	sequential	95/96
fy2010-aip-grants__xls.pdf	100	of	sequential	100/100
fy2010-aip-grants__xls.pdf	100	page	sequential	100/100
fy2011-aip-grants__xls.pdf	93	of	sequential	92/93
fy2011-aip-grants__xls.pdf	93	page	sequential	93/93
info-bulletin-601__doc.pdf	6	of	sequential	5/5
info-bulletin-601__doc.pdf	6	page	sequential	4/5
orbus_togaf_tool_csq__xls.pdf	75	page	sequential	64/64
prison-population-bulletin-june__doc.pdf	4	page	sequential	4/4
programs contact list as of 07-01-10__xls.pdf	3	page	sequential	3/3
system_design__technical_architecture_template__docx.pdf	17	of	sequential	16/16
system_design__technical_architecture_template__docx.pdf	17	page	sequential	16/16
te.iors.00048-002 SUP Questionnaire__docx.pdf	4	of	sequential	4/4
te.iors.00048-002 SUP Questionnaire__docx.pdf	4	page	sequential	4/4
technical report template__docx.pdf	10	of	sequential	10/10
technical report template__docx.pdf	10	page	sequential	10/10
xx_SETIS_PWS_template_10.19.22__docx.pdf	15	of	sequential	15/15
xx_SETIS_PWS_template_10.19.22__docx.pdf	15	page	sequential	15/15
